transaction_id,date,customer_id,product_id,product_name,category,region,channel,payment_method,quantity,unit_price,discount_pct,net_unit_price,revenue,cogs,profit
TXN01690,2023-01-01,CUST0437,PROD023,Business Analytics,Books,North,Mobile App,Credit Card,2,44.99,0.02,44.09,88.18,41.57,46.61
TXN00386,2023-01-01,CUST0025,PROD006,Running Jacket,Clothing,West,In-Store,Net Banking,3,79.99,0.06,75.19,225.57,106.38,119.19
TXN01074,2023-01-01,CUST0128,PROD015,Cutting Board,Home & Kitchen,East,Online,Cash,2,19.99,0.11,17.79,35.58,22.74,12.84
TXN01243,2023-01-02,CUST0049,PROD008,Casual T-Shirt,Clothing,South,Mobile App,Cash,3,24.99,0.18,20.49,61.47,31.2,30.27
TXN00326,2023-01-02,CUST0445,PROD028,Lipstick Set,Beauty,North,Mobile App,Net Banking,4,39.99,0.24,30.39,121.56,62.66,58.9
TXN00254,2023-01-02,CUST0388,PROD024,SQL Mastery,Books,North,In-Store,Net Banking,5,34.99,0.03,33.94,169.7,109.58,60.12
TXN01227,2023-01-03,CUST0479,PROD002,Wireless Earbuds,Electronics,North,In-Store,Credit Card,3,89.99,0.2,71.99,215.97,120.41,95.56
TXN00791,2023-01-03,CUST0499,PROD007,Slim Jeans,Clothing,North,Online,Cash,3,59.99,0.04,57.59,172.77,103.8,68.97
TXN01930,2023-01-03,CUST0407,PROD011,Air Fryer 5L,Home & Kitchen,Central,In-Store,Debit Card,1,89.99,0.06,84.59,84.59,53.23,31.36
TXN01222,2023-01-03,CUST0467,PROD003,Smart Watch,Electronics,West,In-Store,Debit Card,1,249.99,0.16,209.99,209.99,130.45,79.54
TXN01287,2023-01-03,CUST0185,PROD001,"Laptop Pro 15""",Electronics,West,Mobile App,Cash,2,1199.99,0.01,1187.99,2375.98,1135.99,1239.99
TXN01682,2023-01-04,CUST0179,PROD010,Sneakers,Clothing,North,Mobile App,UPI,1,99.99,0.05,94.99,94.99,53.82,41.17
TXN01269,2023-01-04,CUST0413,PROD007,Slim Jeans,Clothing,West,Mobile App,Debit Card,2,59.99,0.08,55.19,110.38,56.53,53.85
TXN00963,2023-01-04,CUST0186,PROD029,Hair Dryer,Beauty,North,Online,UPI,2,59.99,0.1,53.99,107.98,66.43,41.55
