year_month,region,revenue_target,profit_target,units_target
2023-01,North,18587.49,10181.33,261
2023-01,South,23823.0,11509.28,277
2023-01,East,18699.95,11497.98,138
2023-01,West,24361.8,6296.9,244
2023-01,Central,22078.87,6216.32,177
2023-02,North,26375.7,8115.13,270
2023-02,South,31602.74,9703.5,210
2023-02,East,20494.84,7910.04,148
2023-02,West,24915.88,7035.98,156
2023-02,Central,30674.42,11672.08,185
2023-03,North,21496.83,9345.34,166
2023-03,South,20289.7,8164.3,194
2023-03,East,20095.15,6677.92,165
2023-03,West,23276.38,7923.02,186
2023-03,Central,26275.44,9876.29,169
2023-04,North,30722.8,10440.23,120
2023-04,South,27692.99,10898.72,171
2023-04,East,31666.27,7766.57,233
2023-04,West,30280.93,11001.08,198
2023-04,Central,25030.85,9111.39,250
2023-05,North,26389.08,11534.69,123
2023-05,South,21793.47,6124.86,162
2023-05,East,18144.54,8245.15,216
2023-05,West,28723.37,10106.13,138
2023-05,Central,26569.08,11249.74,168
2023-06,North,29032.32,8689.17,185
2023-06,South,26734.8,11422.64,221
2023-06,East,23979.94,9947.6,160
2023-06,West,31266.8,9586.4,201
2023-06,Central,23797.61,7608.04,235
2023-07,North,30897.95,8844.99,163
2023-07,South,20240.25,8152.16,159
2023-07,East,18245.52,6483.32,222
2023-07,West,22890.06,6502.29,274
2023-07,Central,19873.5,9924.72,266
2023-08,North,28151.79,6946.01,271
2023-08,South,22001.73,6428.02,225
2023-08,East,21057.13,6909.81,201
2023-08,West,22421.26,9989.04,268
2023-08,Central,23631.12,8615.35,238
2023-09,North,27357.25,10874.18,224
2023-09,South,20413.05,9734.54,195
2023-09,East,27297.12,11723.73,130
2023-09,West,24040.5,6455.99,186
2023-09,Central,26729.03,6162.41,261
2023-10,North,22754.99,7167.19,147
2023-10,South,21122.49,9229.86,130
2023-10,East,18610.53,9443.38,177
2023-10,West,27861.21,6942.2,141
2023-10,Central,20474.92,6911.04,164
2023-11,North,28949.55,8232.68,195
2023-11,South,25159.07,11470.18,148
2023-11,East,27957.2,9229.96,231
2023-11,West,25608.16,9214.71,222
2023-11,Central,22171.36,6050.62,269
2023-12,North,19536.29,7960.3,262
2023-12,South,25521.27,8336.78,198
2023-12,East,28501.07,11023.03,120
2023-12,West,18596.12,8329.6,265
2023-12,Central,30992.96,11493.4,247
